total_loss,kld_loss,ll_loss
27.297422,1.4634035,25.834019
27.413235,0.7490351,26.6642
26.078047,0.36218926,25.715858
26.212372,0.25001478,25.962357
27.025024,0.1476106,26.877415
26.52602,0.09484577,26.431175
26.778404,0.051100306,26.727304
26.527147,0.033850208,26.493298
25.453714,0.019752527,25.433962
26.948338,0.008905501,26.939432
28.050451,0.0056075975,28.044844
26.464584,0.0037100336,26.460875
27.489277,0.0027214088,27.486555
26.546703,0.0020105531,26.544693
26.052795,0.0020195048,26.050776
26.442854,0.0018430896,26.441011
26.529922,0.0018732535,26.52805
25.90353,0.0018326943,25.901697
24.99853,0.0016337032,24.996895
25.70561,0.0015654229,25.704044
27.763731,0.0015524538,27.762178
26.06855,0.0015992271,26.066952
26.548553,0.0016086763,26.546946
27.243973,0.0015863499,27.242386
26.753185,0.0015690958,26.751616
26.148617,0.0015594997,26.147057
26.684572,0.0016018546,26.68297
27.041754,0.0016084833,27.040146
26.186176,0.0015360805,26.18464
26.117477,0.0014629419,26.116014
25.842966,0.001826851,25.841139
26.97553,0.0015088369,26.974022
27.05394,0.0016977616,27.052242
27.17498,0.0018955292,27.173084
25.536503,0.0018822068,25.53462
26.734968,0.001541961,26.733427
26.257896,0.0017919806,26.256104
26.082237,0.0008028586,26.081434
26.921135,0.00089802465,26.920237
26.377232,0.0017267116,26.375505
25.824444,0.0013397292,25.823105
26.375187,0.0009137522,26.374273
25.96429,0.0013238867,25.962967
26.395681,0.0014893063,26.394192
26.966248,0.0019956206,26.964252
26.80112,0.001504875,26.799616
27.143322,0.0012703773,27.142052
26.414415,0.0026093707,26.411806
26.817043,0.001128048,26.815916
25.9026,0.0011166278,25.901484
26.236061,0.0022350792,26.233826
26.273176,0.0018246227,26.27135
26.4379,0.0017689051,26.436132
25.941149,0.00081342424,25.940336
26.58794,0.0013260774,26.586615
27.476355,0.0009031741,27.47545
26.40925,0.0011594584,26.40809
26.119923,0.0017374468,26.118185
27.270063,0.0020672544,27.267996
25.699818,0.0012768208,25.698542
26.651257,0.0015285455,26.649729
26.104675,0.0008760906,26.1038
27.460497,0.0014496385,27.459047
26.963434,0.0023510787,26.961082
27.264156,0.0011986861,27.262959
27.299036,0.0016499594,27.297386
25.921589,0.0011909368,25.920399
27.142927,0.00077973376,27.142147
26.12855,0.0023109554,26.126238
26.873491,0.0019598152,26.87153
27.336094,0.0022882216,27.333805
27.046085,0.0018308288,27.044254
26.10778,0.001921269,26.10586
26.041527,0.0010525966,26.040474
25.608702,0.000120476034,25.608582
26.18144,0.001409871,26.18003
26.58889,0.0019317179,26.586958
26.373901,0.0012166548,26.372684
25.96694,0.0012640404,25.965675
26.628487,0.0011446178,26.627342
26.965752,0.001615555,26.964136
26.738789,0.0016756307,26.737112
26.604982,0.0016804925,26.603302
27.089025,0.0020065561,27.087019
25.852314,0.0014039373,25.85091
26.558535,0.002074325,26.55646
25.151,0.001874527,25.149124
26.34363,0.0017171577,26.341913
27.084143,0.001436441,27.082706
26.770359,0.0011457786,26.769213
26.775272,0.0007480172,26.774525
26.72149,0.0013481673,26.720142
27.034771,0.0018967696,27.032875
26.844206,0.0010543512,26.843151
26.44852,0.0012870836,26.447233
26.218784,0.0018180348,26.216967
25.623045,0.0011828728,25.621862
26.546585,0.0009614964,26.545624
27.08477,0.0018641939,27.082907
25.685553,0.0018601514,25.683693
25.555689,0.0013382452,25.55435
26.331194,0.0011258554,26.330069
26.94423,0.0011276905,26.943102
26.010853,0.0018380199,26.009014
26.739706,0.001403824,26.738302
26.489527,0.0024899116,26.487038
27.107483,0.0012672587,27.106216
25.964252,0.0018395248,25.962414
26.161242,0.0010471033,26.160194
26.975124,0.0019833932,26.97314
26.636375,0.00081658084,26.63556
26.24012,0.001970594,26.23815
26.849506,0.0015174919,26.847988
26.014803,0.0014788208,26.013325
26.839336,0.0013059163,26.83803
26.583927,0.0015530421,26.582375
27.633379,0.0018535913,27.631525
25.552107,0.0016936668,25.550413
26.919872,0.001628378,26.918243
26.296457,0.0017232801,26.294735
27.411871,0.0019079484,27.409964
27.19138,0.0015106339,27.189869
25.737816,0.001298957,25.736517
26.429714,0.001960909,26.427753
27.128403,0.0020808126,27.126322
26.983671,0.002094476,26.981577
27.239492,0.0016870123,27.237806
27.300268,0.0009838652,27.299284
26.200335,0.0019800805,26.198355
27.925842,0.0011375119,27.924706
26.689486,0.0014656599,26.68802
26.358633,0.0014187789,26.357214
26.20101,0.0013322035,26.199678
26.232307,0.0019176996,26.23039
25.681435,0.0012996926,25.680136
26.248957,0.0015227501,26.247435
27.23792,0.0019406896,27.235981
26.780552,0.001795933,26.778755
27.247883,0.0012300194,27.246653
25.661959,0.0015712283,25.660387
26.564848,0.00054742495,26.5643
26.125063,0.0014534607,26.12361
27.212675,0.0014376079,27.211237
27.042461,0.001962983,27.040499
26.175955,0.0021996724,26.173756
26.364134,0.0021155183,26.362019
27.463226,0.0022482658,27.460978
26.895891,0.0013032572,26.894588
26.25495,0.0011989776,26.25375
26.226564,0.0024795083,26.224085
27.548584,0.0017672158,27.546816
26.241219,0.0016248093,26.239594
26.42819,0.0013747201,26.426815
26.012407,0.0019973384,26.01041
26.513958,0.0009691155,26.512989
26.701845,0.0019099796,26.699936
26.15938,0.0015330632,26.157846
27.3526,0.0019227437,27.350677
26.707256,0.0022131265,26.705044
26.366566,0.0015173533,26.365047
26.239231,0.0011212555,26.23811
26.659042,0.0012350149,26.657806
27.01121,0.0019234393,27.009287
26.408571,0.0016831646,26.406889
26.42969,0.0019060911,26.427784
26.539417,0.0016774316,26.53774
26.765892,0.0012303061,26.764662
26.917795,0.0021072738,26.915688
26.467173,0.0018453781,26.465326
26.746256,0.0016494724,26.744606
26.476824,0.0013439101,26.47548
26.601885,0.0013085399,26.600576
26.725363,0.0012411878,26.724121
25.857212,0.0015311126,25.85568
27.461893,0.0020215586,27.459871
26.293148,0.0011530381,26.291994
25.807207,0.0013763205,25.80583
26.534868,0.0008122346,26.534056
25.803625,0.0009799292,25.802645
26.258121,0.0014084037,26.256714
26.46725,0.0020646313,26.465187
27.841331,0.0014520148,27.83988
26.803242,0.0017413442,26.8015
27.423857,0.0018489414,27.422009
26.852064,0.0017468045,26.850317
27.556856,0.0021354035,27.55472
25.792412,0.0015171494,25.790895
26.471052,0.0020306278,26.46902
26.313974,0.0013295762,26.312645
26.451117,0.0009143023,26.450203
27.320646,0.0012061086,27.31944
26.17407,0.0013983289,26.172672
26.612925,0.002004988,26.61092
26.078451,0.0021751989,26.076277
26.737276,0.00248756,26.734789
25.85988,0.0007869117,25.859093
26.37686,0.0018541915,26.375006
26.348898,0.0017198116,26.347178
26.751947,0.0015092908,26.750439
26.944538,0.001644469,26.942894
26.542847,0.0013804521,26.541466
26.63517,0.0022297609,26.63294
26.814201,0.001128773,26.813072
26.447348,0.00105726,26.446291
26.993387,0.002002676,26.991385
26.137613,0.00213294,26.13548
26.538464,0.0015397975,26.536924
26.358513,0.0015087205,26.357004
26.953995,0.0017290385,26.952265
27.516119,0.0022121875,27.513906
26.439377,0.0015327093,26.437843
26.095253,0.0016904523,26.093563
27.130669,0.001606289,27.129063
27.692799,0.0014328562,27.691366
26.569304,0.0011570009,26.568146
26.38695,0.0016877325,26.385262
25.984648,0.0020323629,25.982615
26.410324,0.0013197105,26.409004
26.984192,0.0015744441,26.982618
26.513508,0.0010885308,26.512419
26.855017,0.0022416255,26.852776
27.349249,0.0015678011,27.347681
27.289942,0.0015240482,27.288418
26.386057,0.0018398857,26.384216
26.820498,0.0014082021,26.81909
26.426748,0.0009820985,26.425766
28.338917,0.0018343101,28.337082
25.893112,0.0018207458,25.89129
27.037231,0.0014996242,27.035732
26.177412,0.0018187845,26.175592
27.71681,0.0008331955,27.715977
26.397131,0.001627212,26.395504
26.614237,0.0013091946,26.612928
27.230982,0.0011912418,27.22979
26.139921,0.0009576302,26.138964
27.07843,0.0015901953,27.07684
27.267687,0.0014944484,27.266191
27.185942,0.0012049667,27.184736
26.848911,0.0017957895,26.847115
26.451778,0.0022066114,26.449572
28.02849,0.0015404315,28.026949
26.81432,0.0009781921,26.813341
26.663355,0.0012087387,26.662146
25.45529,0.0012008845,25.454088
26.97301,0.002250797,26.970758
26.346745,0.0019570854,26.344788
27.017878,0.0017975196,27.01608
26.33574,0.001996246,26.333742
25.529293,0.00086598145,25.528427
26.689688,0.0012074779,26.68848
26.176086,0.0016805488,26.174406
25.808847,0.0017163123,25.80713
26.861275,0.0015245775,26.85975
26.523718,0.0019342274,26.521784
26.769754,0.0009377431,26.768816
26.96297,0.0015877716,26.961384
27.284283,0.0009064742,27.283377
28.45556,0.0016801645,28.45388
26.83995,0.0018367646,26.838114
26.745632,0.0023322697,26.7433
27.59977,0.0017043822,27.598064
26.312712,0.002077586,26.310635
26.686863,0.0021012095,26.684761
25.53883,0.0017381123,25.537092
26.994822,0.0013702824,26.993452
28.324108,0.001608012,28.3225
26.307375,0.0014330703,26.305943
27.345364,0.0020607142,27.343304
26.6885,0.0011675555,26.687332
26.040455,0.0008222841,26.039633
24.89708,0.0015034494,24.895576
27.2769,0.0015366857,27.275362
26.488081,0.0012739197,26.486807
26.32048,0.0016810176,26.3188
26.597412,0.0011665677,26.596245
26.746637,0.0015787237,26.745058
26.441929,0.0018352359,26.440094
26.181633,0.0021767255,26.179457
25.951473,0.0019202963,25.949553
26.777002,0.0013963624,26.775606
27.890644,0.0017918707,27.888853
26.258783,0.0015210048,26.257263
26.41972,0.0013049814,26.418415
26.053196,0.001591953,26.051603
26.450811,0.0015376144,26.449274
26.42917,0.001740193,26.427431
26.977816,0.0014853568,26.97633
26.939756,0.0017051266,26.938051
26.346529,0.00091349916,26.345615
26.209091,0.0016362825,26.207455
27.539944,0.002323561,27.53762
27.93343,0.0017012239,27.931728
26.320925,0.0014474007,26.319477
26.00954,0.0017846359,26.007755
26.27497,0.0016821426,26.273287
26.213812,0.0014903795,26.212322
26.33052,0.0016446369,26.328876
25.950882,0.0018554572,25.949026
26.76096,0.0019309097,26.75903
26.111221,0.00086985645,26.110352
